[[11],[],[],[100]]

column	description
CHROM	chromosome ID
POS	chromosome base pair position
ID	rs_ID
REF	Reference Allele
ALT	Alternative Allele
QUAL	QualityScore
FILTER	Filter
DP	Depth (Multiple Sample Total Depth)
SampleID\n(Genotype)	Genotype( 0/0 : Reference Allele Homozygous, 0/1 : Heterozygous SNV, 1/1 : Alternative Allele Homozygous SNV, ./. : Non Sequencing)
EFFECT	Effect of this variant, upstream : 5K, downstream 5K
IMPACT	Effect impact {High, Moderate, Low, Modifier}
FUNCLASS	Functional class {NONE, SILENT, MISSENSE, NONSENSE}.
CODON	Codon change: old_codon/new_codon OR distance to transcript (in case of upstream / downstream)
AA	Amino acid change: old_AA AA_position/new_AA (e.g. 'E30K)
AA_LEN	Length of protein in amino acids (actually, transcription length divided by 3).
GENE	Gene name
BIOTYPE	Transcript bioType, if available.
CODING	[CODING | NON_CODING]. This field is 'CODING' if any transcript of the gene is marked as protein coding.
TRID	Transcript ID (usually ENSEMBL IDs)
EXON_NUM	Exon rank or Intron rank (e.g. '1' for the first exon, '2' for the second exon, etc.)
gene_start_bp	Gene start base pair
gene_end_bp	Gene end base pair
gene_strand	Gene strand
description	Gene desciption
