[[12],[],[],[0,100]]



Effect Type	Region
NONE\nCHROMOSOME\nCUSTOM\nCDS	NONE
INTERGENIC\nINTERGENIC_CONSERVED	INTERGENIC
UPSTREAM	UPSTREAM
UTR_5_PRIME\nUTR_5_DELETED\nSTART_GAINED	UTR_5_PRIME
SPLICE_SITE_ACCEPTOR	SPLICE_SITE_ACCEPTOR
SPLICE_SITE_DONOR	SPLICE_SITE_DONOR
INTRAGENIC\nSTART_LOST\nSYNONYMOUS_START\nNON_SYNONYMOUS_START\nGENE\nTRANSCRIPT	EXON or NONE
EXON\nEXON_DELETED\nNON_SYNONYMOUS_CODING\nSYNONYMOUS_CODING\nFRAME_SHIFT\nCODON_CHANGE\nCODON_INSERTION\nCODON_CHANGE_PLUS_CODON_INSERTION\nCODON_DELETION\nCODON_CHANGE_PLUS_CODON_DELETION\nSTOP_GAINED\nSYNONYMOUS_STOP\nSTOP_LOST\nRARE_AMINO_ACID	EXON
INTRON\nINTRON_CONSERVED\nUTR_3_PRIME\nUTR_3_DELETED	UTR_3_PRIME
DOWNSTREAM	DOWNSTREAM
REGULATION	REGULATION
